Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
roasted tomato soup,vegetarian	soups,6 servings,"10    tomatoes, ripe (3 lbs); cored, halved and seeded	1 1/2 ts olive oil	2    onions, red; chopped	1    garlic clove; minced	3 c  vegetable stock	3 tb basil, fresh; chopped	salt and pepper to taste",TRIMMED DATA,TRIMMED DATA,heat oil in a large saucepan over medium heat add garlic and cook stirring until thickened and bubbly add tomatoes and salt and pepper to taste simmer for minutes add tomatoes and salt and pepper bring to a boil reduce heat to low and simmer for minutes or until the mixture thickens and thickens stirring occasionally about minutes add the tomatoes and cook stirring occasionally until the mixture thickens slightly and thickens add the tomatoes and the remaining ingredients and simmer for minutes or until the mixture thickens slightly thickened serve with the remaining sauce <EOS>,in a large skillet over medium heat add the onion and cook until the onion is tender add the garlic and cook for minutes add the onion and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and the sauce and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and
roasted vegetable pan bagna,french/prov	mediterrane	vegetarian,4 servings,"2    plum tomatoes -- cored and alved	2    garlic cloves -- bruised	1    zucchini, cut lengthwise	into 1/4-inch	slices	1    red bell pepper, quartered, tems and eeds removed	1 md red onion, halved lengthwise	cut into	1/2    -inch half moons	12 oz eggplant cut into 1/4-inch	half moons	2 tb extra virgin olive oil	2 tb chopped parsley	1/2 ts dried rosemary	1/4 ts dried thyme	salt and freshly ground	black pepper	4    italian hero rolls or small	semolina	loaves	2 oz anchovy fillets, drained and insed	2 c  trimmed arugula leaves",TRIMMED DATA,TRIMMED DATA,in a large bowl combine the first ingredients and mix well add the remaining ingredients and toss gently to coat serve immediately <EOS>,in a large skillet over medium heat add the onion and saute until the onion is tender add the onion and saute until the onion is tender add the garlic and cook for minutes add the onion and cook for minutes add the onion and garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and the stock and bring to a boil and cook for minutes add the rice and stir fry for minutes add the rice and the sauce and cook for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and stir to cook for minutes add the remaining ingredients and stir until the mixture is absorbed and the sauce
roasted vegetable sandwich,vegetables	vegetarian	sandwiches,4 servings,"1 sm eggplant, thinly sliced into rounds	1    zucchini, thinly sliced	1    yellow summer squash, sliced	1    red bell pepper, cored, seeded and thinly sliced	2 ts olive oil	2    garlic cloves, chopped fine	pepper, freshly ground and alt to taste	1/4 c  sour cream, non-fat, -or- non-fat plain yogurt	2 tb mayonnaise, reduced-fat	1 tb basil, fresh chopped	1 ts lemon juice, fresh	1    french bread baguette, 16 inch-long, split length- wise, cut into 4 sections	1 bn watercress, washed, large stem removed, abt 2 cups","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9","in a large bowl , combine all ingredients . mix well . in a small bowl , combine all ingredients except parsley . mix well . add remaining ingredients . cover and refrigerate until ready to serve .  <EOS>",in a large bowl combine the mayo and the mayonnaise and the mayonnaise in a large bowl add the cheese and toss gently toss with the sauce and the cheese and toss with the sauce and serve <EOS>,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and saute for minutes add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and the stock and bring to a boil and cook for minutes add the rice and stir fry for minutes add the rice and stir fry for minutes add the cooked rice and stir fry for minutes add the cooked rice
robbs southern coleslaw,salads	relishes	vegetables,6 servings,1 c  buttermilk ranch dressing	3 tb cider vinegar	2 tb granulated sugar	1 1/2 ts prepared mustard	1 ts celery seed	1 ts whole mustard seed	1/2 ts freshly ground black pepper	6 c  shredded cabbage	1 c  shredded carrots	3 tb chopped fresh parsley,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large bowl , combine all ingredients . mix well . add remaining ingredients . cover and refrigerate until ready to serve .  <EOS>",in a large bowl combine the vinegar mustard salt and pepper and pepper in a large bowl add the vinegar and salt and pepper to taste and pepper in a large bowl add the vinegar and toss gently to coat cover and refrigerate for at,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and cook until the onion is tender add the garlic and cook for minutes add the tomatoes and cook until the meat is
rocky-road cheesecake cups,cheesecakes	low-cal,14 servings,2 c  chocolate wafer   crumbs (about 36 cookies)	3 tb butter or margarine; melted	1 tb sugar	1 pk (8 oz.) cream cheese;   room temperature	1/3 c  sugar	3 tb unsweetened cocoa powder	2    eggs	1/2 c  dairy sour cream	1/2 ts vanilla extract	1/2 c  miniature marshmallows	1/4 c  chopped almonds,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large bowl , combine all ingredients . mix well . pour into pie shell . bake at 350 deg . for 25 minutes . remove from pan and cool completely .  <EOS>",combine first ingredients in a large mixing bowl mix well and set aside in a large mixing bowl combine the flour and baking powder set aside in a large mixing bowl combine the flour and baking powder add the chocolate and mix until well blended stir in the sour cream and vanilla mixing well after each addition add the chocolate and vanilla and mix well chill until firm <EOS>,in a large bowl combine the flour baking powder and salt and pepper in a large bowl stir in the flour and salt add the egg yolks and vanilla beat until smooth and elastic fold in the flour mixture and mix well pour into a greased x x inch baking pan bake at degrees for minutes or until golden brown cool on wire rack <EOS>
root vegetable dahl,main dish	indian	vegetables,4 servings,"1 tb oil	1 ea onion, chopped	2 ea garlic cloves, chopped	1 ea carrot, thinly sliced	1 sm parsnip, diced	4 oz turnip, diced	1 ea 1"" piece ginger, grated	1 pn chili powder	1 tb coriander	1/2 ts turmeric	2 ts cumin, ground	8 oz red lentils	1 1/2 pt stock	2 tb cilantro, chopped	salt & pepper",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large skillet , heat the oil over medium-high heat . add the garlic , onion , garlic , and cook until the onion is golden brown . add the garlic , onion , and garlic . cook over medium heat until the vegetables are tender . add the remaining ingredients . stir in the yogurt , and serve .  <EOS>",in a large saucepan bring water to a boil add lentils and cook for minutes or until tender drain and rinse with cold water drain rinse with cold water drain and rinse with cold water drain rinse with cold water drain rinse with cold water drain and rinse with cold,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and saute for minutes add the onion and saute for minutes add the garlic and cook for minutes add the tomatoes and cook for minutes add the rice
rowells inn old vermont cocoa cake,cakes	desserts	holiday,12 servings,"1/2 c  unsweetened cocoa	1/2 c  boiling water	1/4 c  butter, softened	1/4 c  shortening	2 c  sugar	1/8 ts salt	1 ts vanilla	2    eggs	1 1/2 ts baking soda	1 c  buttermilk	1 3/4 c  all-purpose flour	2 tb sour cream	1 tb maple syrup	1/3 c  chopped walnuts	1/2 c  butter, softened	1/2 c  unsweetened cocoa	2 tb corn syrup	1 ts maple syrup	3 c  confectioners' sugar	6 tb milk",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
mussel tomato soup,soups/stews	fish/sea	appetizers,4 servings,2 ts minced garlic	1 c  of canned chopped drained pl	1/3 c  viirgin olive oil	tomatoes	1 pn red peppers,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and cook until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30","in a large bowl , combine all ingredients . mix well . in a separate bowl , combine all ingredients except cheese , and parsley . mix well .  <EOS>",heat oil in a large saucepan over medium heat add garlic and cook stirring until thickened and bubbly add tomatoes and salt and bring to a boil reduce heat to low and simmer for minutes or until thickened and bubbly stirring constantly add tomatoes and salt,in a large skillet over medium heat add the onion and cook until the onion is tender add the garlic and cook until the onion is tender add the garlic and cook for minutes add the rice and stir fry for minutes add the remaining ingredients
piquant sauce,beverages,16 servings,2 tb margarine or butter	1/4 c  white wine	1    thin slice onion	1 tb chopped fresh parsley	2 tb all-purpose flour	1 tb chopped gherkins	1 c  beef broth	1 tb finely chopped onion	1/4 ts salt	1 1/2 ts chopped fresh or 1/2 ts	1/8 ts pepper	-dried chervil leaves,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large skillet , heat the oil over medium-high heat . add the onion and cook until the onion is soft . add the flour and cook over low heat until the rice is cooked . add the remaining ingredients except the parsley and mix well . add the remaining ingredients . mix well . add the remaining ingredients . mix well . add the remaining ingredients . mix well .  <EOS>",in a large saucepan bring to a boil add the onion and cook until the onion is tender about minutes add the onion and saute for minutes add the onion and saute for minutes add the onion and saute for minutes add the onion and saute for minutes add the onion and saute for minutes add the onion and saute for minutes add the onion and saute for minutes add the,in a large skillet over medium heat add the onion and cook until the onion is tender add the onion and saute until the onion is tender add the garlic and cook for minutes add the onion and cook until the onion is tender add the remaining ingredients and stir until the mixture is absorbed and the sauce is absorbed add the remaining ingredients and the sauce and cook for minutes
venison roll-ups,meats,6 servings,2 lb round steak (elk or deer)	4    medium-sized carrots	salt	flour	pepper	shortening	1/2 lb pork sausage,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and cook until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat the oil over medium-high heat . add the onion and cook until the meat is brown . add the chopped parsley and cook over medium heat until the meat is no longer pink . add the chopped pepper and the chopped parsley .  <EOS>",in a large saucepan bring to a boil add the salt and pepper to taste and cook for minutes add the salt and pepper and cook for minutes add the water and cook for minutes add the salt and pepper and cook for minutes add the salt and pepper and cook for minutes add the salt and pepper to taste and simmer for minutes or until the vegetables are tender serve with the remaining,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir well add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and fold in the flour mixture and add the mixture to the mixture and the mixture and the mixture and the mixture and the mixture
dinkum chili,australian	chili,8 servings,"500 g  wallaroo bacon	1 tb cumin	2 tb vegetable oil	3 tb brown sugar	1 kg red kangaroo shank, chopped	1    white onion, chopped	500 g  gray kangaroo steak, chopped	1    brown onion, chopped	500 g  ground emu ham	2    celery stalks, chopped	31 1/2 g  tasmanian light red chili	1    green pepper, diced	31 1/2 g  wooroorooks chili	2    garlic cloves, minced	26 1/2 g  mount isa dark red chili	740 ml australian beer	140 g  oregano	1 cn whole tomatoes #411","in a large skillet , heat oil in a large skillet over medium-high heat . add onion","in a large saucepan , heat oil over medium-high heat . add onion , garlic , brown",in a large saucepan bring the water to a boil over low heat add,in a large skillet over medium heat add the onion and saute until the
kf chicken,poultry,1 servings,3 lb chicken; cut up	2 pk italian salad dressing mix -	3 tb flour	2 ts salt	1/4 c  lemon juice; or vinegar	2 tb margarine; for deep frying	1 1/2 pt oil; for deep frying	2 c  milk; or beer	pancake mix,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9,"in a large skillet , heat the oil over medium-high heat . add the onion , celery , and cook over medium heat until the meat is brown . add the onion , celery , and carrots . cook over low heat until the vegetables are tender . stir in the cream cheese , sugar , and salt . add the beans and the beans . stir in the milk , and the remaining ingredients . stir in the chopped peanuts .  <EOS>",in a large saucepan combine the water and the milk bring to a boil stirring constantly until the mixture thickens add the chicken and cook stirring constantly until the mixture thickens and thickens stirring constantly remove from heat and add the remaining ingredients and cook stirring occasionally until the sauce thickens slightly thickened serve with a little oil or as a little as a side or as a sauce is done <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir in the flour and salt add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic to the mixture is smooth and elastic and about minutes rrb add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic to about minutes rrb add the rest of the ingredients and the mixture and the
kale  leek pie,cheese/eggs	fish	harned 1994	main dish	pies,1 pie,"3 tb olive oil	1    leek	3 c  kale	1/2 c  cheddar cheese; grated	1/2 lb scrod (white fish)	herbs (your choice)	1 c  bechamel sauce	3 tb parmesan cheese; grated	1    9"" pie shell; pre-baked","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until smooth . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat the oil over medium-high heat . add the onion , celery , onion , and garlic . cook over medium heat until the meat is brown , about 3 minutes . add the remaining ingredients except the cheese and the cheese . mix well .  <EOS>",in a large saucepan bring to a boil reduce heat and simmer for minutes add the fish and cook for minutes or until the cheese melts and the mixture thickens and the mixture thickens slightly about minutes add the garlic and cook for minutes add the fish and cook stirring constantly until the mixture thickens and thickens stirring,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir in the flour and salt add the flour and salt and pepper to taste and taste with salt and pepper to taste <EOS>
karl irvines garlicbuster hummus,appetizers	dips	middle east,1 servings,3 lg garlic cloves; peeled	2 c  chickpeas; cooked -or-	1 cn -19 oz	1/3 c  tahini: 	2 tb olive oil	1/3 c  lemon juice; fresh	1 ts cumin; ground	1/4 ts pepper	1 pn -salt; opt,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients . mix well . pour into a greased 13x9x2-inch pan . bake at 350 deg . for 25 minutes .  <EOS>",in a large bowl combine the garlic and olive oil and the garlic salt and pepper to taste and mix well add the garlic and salt and pepper to taste and adjust seasoning to taste with salt and pepper and the garlic and pepper and add the garlic and salt and pepper to taste and adjust seasoning,in a large skillet over medium heat add the onion and saute for minutes add the onion and saute for minutes add the garlic and cook for minutes add the tomatoes and cook until the meat is tender add the tomatoes and the sauce and cook for minutes add the rice and stir fry for minutes add
kathys rum balls,candies,6 servings,"1 1/2 tb lite karo syrup, 1 cup finely chopped pecans, 2 tbs. powdered",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large bowl , combine the sugar , and sugar . add the egg and mix well . add the remaining ingredients . mix well . add the remaining ingredients . mix well .  <EOS>",in a large saucepan bring to a boil reduce heat and simmer for minutes remove from heat and let stand for minutes add the pecans and cook for minutes stirring occasionally until the mixture thickens and thickens stirring constantly remove from heat and stir in,combine all ingredients except the cream and tartar with the sugar and make a soft dough roll out the dough into a inch strips and place in a greased x x inch baking pan bake at for minutes or until golden brown <EOS>
ken  lauras amazing impromptu sweet-n-sour,chinese	vegetarian	main dish,2 servings,"1/4 c  chopped scallions	2    cloves garlic, minced	canola oil (sesame oil would work well, too)	1 c  snow pea pods, de-stringed	1 sm yellow zucchini squash, sliced	1 1/2 c  broccoli (florets and stems, cut into small pieces)	12 oz straw mushrooms	1/2 c  bean sprouts	1/2 c  water chestnuts	1/2 c  bamboo shoots	1/4 c  chopped red bell pepper	1 sm can pineapple chunks (unsweetened, be sure to save the juice)	1 sm can mandarin orange slices	1    ripe mango, peeled, seeded, and sliced	1 1/2 c  tamari	pineapple juice (leftover from the can)	3 tb cornstarch (or enough to make desired thickness)	2 tb water	2 ts grated fresh ginger","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large skillet , heat the oil over medium-high heat . add the onion , garlic , and cook over low heat until the onion is tender . add the onion and cook until the onion is tender . stir in the rice , and cook over low heat until the vegetables are cooked . add the remaining ingredients . cook over low heat until the vegetables are cooked . remove from the heat and add the remaining ingredients . mix well . add the remaining ingredients . mix well . add the remaining ingredients . mix well .  <EOS>",combine all ingredients in a blender container cover and refrigerate for hours or overnight serve with lime slices <EOS>,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the garlic and cook for minutes add the tomatoes and the stock and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the cooked rice and stir fry for minutes add the cooked rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the
kenyan-style collard greens lemon,vegetables,6 servings,"2 lb collard greens	2 tb canola oil	1/2 c  finely chopped onion	1    jalapeno pepper, seeded and inced	2 md plum tomatoes, peeled, eeded and chopped	1/4 ts salt	freshly ground black pepper	1 tb lemon juice","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat the oil over medium-high heat . add the onion , garlic , and cook until the onion is soft . add the lemon juice , lemon juice , and salt . cook over low heat until the vegetables are tender . stir in the parsley and serve .  <EOS>",in a large saucepan bring to a boil reduce heat and simmer for minutes or until the mixture thickens and the mixture thickens add the tomatoes and the lemon juice and bring to a boil reduce heat and simmer for minutes or until the mixture thickens and thickens add the tomatoes and the lemon juice and the pepper and cook stirring occasionally until the mixture thickens and thickens about minutes add the tomatoes and the lemon juice and cook for minutes or until the mixture thickens and the mixture thickens and the mixture,in a large skillet over medium heat add the onion and garlic and cook for minutes add the onion and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the rice and the sauce and cook for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice
kerrys meat pie,meats,4 servings,"1/4 lb butter	3/4 c  flour, white	3/4 c  flour, self-raising	water, ice cold	2 lb lamb or beef (pre-cooked cubes)	2 md brown onions	1/4 c  seasoned flour (flour with basil, oregano and pepper)	1/2 lb mushrooms	6    tomatoes	1    capsicum (green pepper), sliced	1 c  bread crumbs	1/2 c  tomato sauce",TRIMMED DATA,TRIMMED DATA,preheat oven to f in a large bowl combine flour salt and pepper and brown in a large bowl mix well and flour add to flour mixture and stir until smooth add salt and pepper and mix well add to the flour mixture and stir until smooth add the flour and salt and pepper and cook until the mixture is thickened and bubbly and the mixture is thickened and bubbly <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl add the remaining ingredients and mix well add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic to the mixture is smooth and elastic and about minutes rrb add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic to the mixture is smooth and elastic and about minutes rrb add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic to about minutes rrb add the
khatte channe,vegetarian	indian,6 servings,"4 c  cooked chick peas, reserve - the stock	1 tb tamarind paste	1/2 c  light vegetable oil	1 1/2 c  thinly sliced onions	2 ts minced garlic	1/2 ts turmeric	1/2 ts red pepper	1 c  chopped tomatoes	1 tb ginger, grated	1 1/4 ts garam masala	1 1/4 ts ground cumin",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x,"in a small bowl , combine all ingredients . mix well . in a separate bowl , combine remaining ingredients . pour into a greased casserole . bake at 350 deg . for 20 minutes .  <EOS>",in a large saucepan heat oil over medium heat add garlic and cook stirring until hot add salt and pepper flakes cook over low heat stirring occasionally until mixture thickens and thickens add tomatoes and salt and pepper to taste add salt and pepper to taste and cook until soft add tomatoes and salt and pepper to taste simmer for minutes add water and cook stirring occasionally until thickened and bubbly stirring constantly add water and salt simmer for minutes,in a large skillet over medium heat add the onion and garlic and cook over low heat for minutes add the onion and cook for minutes add the onion and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes
kiwi granita,new import,4 servings,"1/2 c  water	1/4 c  sugar	3    kiwis, peeled, chopped	1 tb lime juice",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a bowl , combine the sugar , salt , and cinnamon . mix well . in a separate bowl , combine the sugar , and salt . add the egg and mix well . add the egg and mix well . pour into a greased 13x9x2-inch pan . bake in a preheated 350 degree oven for 45 minutes . ",in a large saucepan bring water to a boil over medium heat add the sugar and cook until the mixture thickens stirring constantly remove from heat and add the water and cook for minutes add the water and cook stirring constantly until the sugar dissolves add the water and bring to,combine all ingredients in a saucepan bring to a boil and simmer for minutes or until tender <EOS>
kletsky apple dumplings,ukrainian	desserts	ethnic	fruit	east-euro,8 servings,"2 ea apples, peeled, cored, &  finely chopped	1/4 c  sugar	1 ea lemon;juice & grated rind	1 ea egg, beaten	3/4 c  dry bread crumbs	1/2 ts cinnamon ground fine",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large bowl , combine all ingredients . mix well . pour into a greased 9 x 13 x 9 '' x 9 '' baking pan . bake at 350 deg . for 45 minutes or until golden brown .  <EOS>",in a large saucepan combine sugar and cinnamon stick and stir until the mixture thickens and apples are soft and creamy add the apples and raisins and cook until the mixture thickens stirring constantly remove from heat and add the remaining ingredients and mix well add the remaining ingredients except the apples and the apples and toss gently with the remaining ingredients and mix well cover and refrigerate overnight,in a large bowl combine the sugar and salt and pepper in a medium bowl add the eggs and beat until the mixture is smooth and elastic add the flour and salt and taste and the mixture and the mixture is smooth and elastic and about minutes rrb add the flour and the butter and mix well and add the flour mixture and the egg whites and the egg
kohls caramel popcorn,improv	kohl	snacks,8 servings,4 qt popcorn; hot air	1/4 lb oleo	1/4 c  syrup; dark karo	1 c  brown sugar	1/2 ts salt	1/2 ts baking soda,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and cook until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large bowl , combine all ingredients except almonds . mix well .  <EOS>",combine dry ingredients and mix thoroughly add dry ingredients and blend well pour into a large pot and bring to a boil over high heat reduce heat and simmer uncovered for minutes or until the liquid has evaporated and the consistency of the pan from the heat and add the eggs and cook stirring until the mixture thickens and thickens stirring constantly remove from heat and stir in the flour and cook stirring constantly until the mixture thickens and thickens stirring constantly remove from heat and stir in the flour and cook over low heat stirring constantly until the mixture thickens and thickens stirring constantly remove from heat and add the eggs and stir until the mixture is dissolved add the sifted dry ingredients and stir,in a large bowl combine the flour baking powder and salt and salt in a large bowl stir in the flour and salt add the flour and salt and taste and mix well pour into the prepared pan bake at degrees for minutes or until the cake is set cool on wire rack <EOS>
koofteh tabrizi herbed meat  rice balls,lamb/mutton	persian,6 servings,"1 lb ground beef or veal	1 1/2 c  rice, raw; well rinsed	1 ts salt; or to taste	1/4 ts turmeric, ground	1/4 ts pepper	2 tb tarragon, dried	2 bn parsley, italian; chopped fine in a processor	1 c  leeks (whole); fine chopped	1/2 c  dill, fresh	1/2 c  onion; chopped fine	3 tb oil	2 md onion; sliced	1/4 ts turmeric, ground	1 c  tomato; chopped	1 ts salt	5 c  ;water	1 c  peas, green; fresh or frozen","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9","in a large skillet , heat oil over medium-high heat . add onion and garlic ; cook over medium heat until tender . add remaining ingredients . cook over medium heat until hot . add the vegetables and cook until tender . stir in the rice , and cook over medium heat until thickened . add the remaining ingredients . stir in the chopped parsley .  <EOS>",in a large saucepan bring water to a boil over medium heat add the salt and pepper and cook for minutes or until the rice is tender drain the rice and add the water to the pot and cook for minutes add the water and cook for minutes add the water and cook for minutes add the salt and pepper and cook for minutes add the water and cook for minutes add the salt and pepper and cook for minutes add the water and cook for minutes add the water and cook for minutes add the water and cook for minutes add the salt and pepper and cook for minutes or until,in a large skillet over medium heat add the onion and saute until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and the salt and pepper to taste add the rice and stir fry for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the remaining ingredients and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the remaining
eggplant lasagne,pasta	vegetarian,6 servings,1 md eggplant	1/2 ts oregano	1/2    lemon; juiced	1/2 ts garlic powder	salt	1/8 ts black pepper	1/4 c  unbleached flour	2 tb oil	1/4 c  cornmeal	1 1/2 lb firm tofu	2 ts honey	1/4 c  lemon juice	1 ts salt	2 ts dried basil; -=or=-	1    garlic clove	2 tb -fresh chopped basil	1 1/2 c  tomato sauce,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
